instance,algorithm,demo_id,iteration,n_customers,n_depots,avg_demand,demand_std,capacity,area_span,density,progress,best_fitness,avg_fitness,fitness_std,convergence_rate,stagnation_counter,population_diversity,elite_ratio,improvement_rate,dynamic_orders,avg_delay,load_imbalance,alpha,beta,gamma,improvement,fitness_after
P-n16-k8,pso,0,22,15,1,16.4,8.138795979750322,35,100,0.01,0.44,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.45200000000000007,0.536,0.652,0.0,475.7724340103465
P-n16-k8,pso,0,23,15,1,16.4,8.138795979750322,35,100,0.01,0.46,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.4680000000000001,0.524,0.668,0.0,475.7724340103465
P-n16-k8,pso,0,24,15,1,16.4,8.138795979750322,35,100,0.01,0.48,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.484,0.512,0.6839999999999999,0.0,475.7724340103465
P-n16-k8,pso,0,25,15,1,16.4,8.138795979750322,35,100,0.01,0.5,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.5,0.5,0.7,0.0,475.7724340103465
P-n16-k8,pso,0,26,15,1,16.4,8.138795979750322,35,100,0.01,0.52,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.516,0.48800000000000004,0.6839999999999999,0.0,475.7724340103465
P-n16-k8,pso,0,27,15,1,16.4,8.138795979750322,35,100,0.01,0.54,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.532,0.47600000000000003,0.6679999999999999,0.0,475.7724340103465
P-n16-k8,pso,0,28,15,1,16.4,8.138795979750322,35,100,0.01,0.56,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.548,0.464,0.6519999999999999,0.0,475.7724340103465
P-n16-k8,pso,0,29,15,1,16.4,8.138795979750322,35,100,0.01,0.58,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.564,0.45200000000000007,0.6360000000000001,0.0,475.7724340103465
P-n16-k8,pso,0,30,15,1,16.4,8.138795979750322,35,100,0.01,0.6,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.58,0.44000000000000006,0.6200000000000001,0.0,475.7724340103465
P-n16-k8,pso,0,31,15,1,16.4,8.138795979750322,35,100,0.01,0.62,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.596,0.42800000000000005,0.6040000000000001,0.0,475.7724340103465
P-n16-k8,pso,0,32,15,1,16.4,8.138795979750322,35,100,0.01,0.64,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.612,0.41600000000000004,0.588,0.0,475.7724340103465
P-n16-k8,pso,0,33,15,1,16.4,8.138795979750322,35,100,0.01,0.66,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.628,0.404,0.572,0.0,475.7724340103465
P-n16-k8,pso,0,34,15,1,16.4,8.138795979750322,35,100,0.01,0.68,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.644,0.392,0.5559999999999999,0.0,475.7724340103465
P-n16-k8,pso,0,35,15,1,16.4,8.138795979750322,35,100,0.01,0.7,475.7724340103465,475.77243401034656,5.684341886080802e-14,0.0,19,0.5,0.1,0,0,0,0,0.6599999999999999,0.38000000000000006,0.54,0.0,475.7724340103465
